"Token","InstrumentName","ShortName","Series","ExpiryDate","StrikePrice","OptionType","CALevel","PermittedToTrade","IssueCapital","WarningQty","FreezeQty","CreditRating","NormalMarketStatus","OddLotMarketStatus","SpotMarketStatus","AuctionMarketStatus","NormalMarketEligibility","OddLotMarketEligibility","SpotMarketEligibility","AuctionMarketEligibility","IssueRate","IssueStartDate","InterestPaymentDate","IssueMaturityDate","MarginPercentage","MinimumLotQty","LotSize","TickSize","CompanyName","ListingDate","ExpulsionDate","ReAdmissionDate","RecordDate","LowPriceRange","HighPriceRange","SecurityExpiryDate","NoDeliveryStartDate","NoDeliveryEndDate","MF","AON","ParticipantInMarketIndex","BookClsStartDate","BookClsEndDate","ExcerciseStartDate","ExcerciseEndDate","OldToken","AssetInstrument","AssetName","AssetToken","IntrinsicValue","ExtrinsicValue","ExcerciseStyle","EGM","AGM","Interest","Bonus","Rights","Dividends","ExAllowed","ExRejectionAllowed","PlAllowed","IsThisAsset","IsCorpAdjusted","LocalUpdateDatetime","DeleteFlag","Remarks","BasePrice","ExchangeCode"
"15006","OPTCUR","USDINR","OPTION","27-Mar-2026",85.5000,"CE",0,0,0,,0,"",0,0,0,0,"","","","",0,"","","",0,1,1000,0.0025,"US Dollars","","","","",1.91,2.39,"","","","","","","","","","",0,"","",0,0,0,"","","","","","","","","","","","","","","",2.1375,"USDINR"
"15989","OPTCUR","USDINR","OPTION","27-Mar-2026",89.2500,"PE",0,0,0,,0,"",0,0,0,0,"","","","",0,"","","",0,1,1000,0.0025,"US Dollars","","","","",2.3975,2.9125,"","","","","","","","","","",0,"","",0,0,0,"","","","","","","","","","","","","","","",2.6575,"USDINR"
"13709","OPTCUR","JPYINR","OPTION","27-Mar-2026",60.7500,"PE",0,0,0,,0,"",0,0,0,0,"","","","",0,"","","",0,1,1000,0.0025,"JAPANESE YEN","","","","",1.535,2.1,"","","","","","","","","","",0,"","",0,0,0,"","","","","","","","","","","","","","","",2.175,"JPYINR"
"14949","OPTCUR","USDINR","OPTION","27-Mar-2026",80.0000,"PE",0,0,0,,0,"",0,0,0,0,"","","","",0,"","","",0,1,1000,0.0025,"US Dollars","","","","",0.0075,0.0175,"","","","","","","","","","",0,"","",0,0,0,"","","","","","","","","","","","","","","",0.01,"USDINR"
"14954","OPTCUR","USDINR","OPTION","27-Mar-2026",80.7500,"CE",0,0,0,,0,"",0,0,0,0,"","","","",0,"","","",0,1,1000,0.0025,"US Dollars","","","","",5.835,6.515,"","","","","","","","","","",0,"","",0,0,0,"","","","","","","","","","","","","","","",7.165,"USDINR"
"14984","OPTCUR","USDINR","OPTION","27-Mar-2026",84.5000,"CE",0,0,0,,0,"",0,0,0,0,"","","","",0,"","","",0,1,1000,0.0025,"US Dollars","","","","",2.59,3.14,"","","","","","","","","","",0,"","",0,0,0,"","","","","","","","","","","","","","","",2.85,"USDINR"
"5637","OPTCUR","EURINR","OPTION","27-Mar-2026",99.5000,"PE",0,0,0,,0,"",0,0,0,0,"","","","",0,"","","",0,1,1000,0.0025,"EURO","","","","",2.0575,2.7825,"","","","","","","","","","",0,"","",0,0,0,"","","","","","","","","","","","","","","",2.925,"EURINR"
"1492","OPTCUR","EURINR","OPTION","27-Mar-2026",86.2500,"CE",0,0,0,,0,"",0,0,0,0,"","","","",0,"","","",0,1,1000,0.0025,"EURO","","","","",14.43,16.33,"","","","","","","","","","",0,"","",0,0,0,"","","","","","","","","","","","","","","",9.82,"EURINR"
"9622","OPTCUR","JPYINR","OPTION","27-Mar-2026",65.7500,"CE",0,0,0,,0,"",0,0,0,0,"","","","",0,"","","",0,1,1000,0.0025,"JAPANESE YEN","","","","",2.105,2.885,"","","","","","","","","","",0,"","",0,0,0,"","","","","","","","","","","","","","","",2.355,"JPYINR"
"5605","OPTCUR","EURINR","OPTION","27-Mar-2026",99.0000,"CE",0,0,0,,0,"",0,0,0,0,"","","","",0,"","","",0,1,1000,0.0025,"EURO","","","","",4.6125,5.8875,"","","","","","","","","","",0,"","",0,0,0,"","","","","","","","","","","","","","","",4.3075,"EURINR"
"8326","OPTCUR","EURINR","OPTION","27-Mar-2026",101.0000,"PE",0,0,0,,0,"",0,0,0,0,"","","","",0,"","","",0,1,1000,0.0025,"EURO","","","","",2.625,3.475,"","","","","","","","","","",0,"","",0,0,0,"","","","","","","","","","","","","","","",3.6425,"EURINR"
"5649","OPTCUR","EURINR","OPTION","27-Mar-2026",100.2500,"PE",0,0,0,,0,"",0,0,0,0,"","","","",0,"","","",0,1,1000,0.0025,"EURO","","","","",2.33,3.115,"","","","","","","","","","",0,"","",0,0,0,"","","","","","","","","","","","","","","",3.2725,"EURINR"
"6416","OPTCUR","GBPINR","OPTION","27-Mar-2026",117.5000,"CE",0,0,0,,0,"",0,0,0,0,"","","","",0,"","","",0,1,1000,0.0025,"POUND STERLING","","","","",3.0325,4.0925,"","","","","","","","","","",0,"","",0,0,0,"","","","","","","","","","","","","","","",2.7775,"GBPINR"
"9075","OPTCUR","JPYINR","OPTION","27-Mar-2026",64.5000,"PE",0,0,0,,0,"",0,0,0,0,"","","","",0,"","","",0,1,1000,0.0025,"JAPANESE YEN","","","","",3.01,3.875,"","","","","","","","","","",0,"","",0,0,0,"","","","","","","","","","","","","","","",4.095,"JPYINR"
"13707","OPTCUR","JPYINR","OPTION","27-Mar-2026",60.5000,"PE",0,0,0,,0,"",0,0,0,0,"","","","",0,"","","",0,1,1000,0.0025,"JAPANESE YEN","","","","",1.46,2.005,"","","","","","","","","","",0,"","",0,0,0,"","","","","","","","","","","","","","","",2.0775,"JPYINR"
"14955","OPTCUR","USDINR","OPTION","27-Mar-2026",80.7500,"PE",0,0,0,,0,"",0,0,0,0,"","","","",0,"","","",0,1,1000,0.0025,"US Dollars","","","","",0.02,0.035,"","","","","","","","","","",0,"","",0,0,0,"","","","","","","","","","","","","","","",0.0175,"USDINR"
"14986","OPTCUR","USDINR","OPTION","27-Mar-2026",84.7500,"CE",0,0,0,,0,"",0,0,0,0,"","","","",0,"","","",0,1,1000,0.0025,"US Dollars","","","","",2.4125,2.9425,"","","","","","","","","","",0,"","",0,0,0,"","","","","","","","","","","","","","","",2.6625,"USDINR"
"15695","OPTCUR","USDINR","OPTION","27-Mar-2026",88.2500,"PE",0,0,0,,0,"",0,0,0,0,"","","","",0,"","","",0,1,1000,0.0025,"US Dollars","","","","",1.74,2.18,"","","","","","","","","","",0,"","",0,0,0,"","","","","","","","","","","","","","","",1.9625,"USDINR"
"7609","OPTCUR","JPYINR","OPTION","27-Mar-2026",55.0000,"CE",0,0,0,,0,"",0,0,0,0,"","","","",0,"","","",0,1,1000,0.0025,"JAPANESE YEN","","","","",8.22,9.77,"","","","","","","","","","",0,"","",0,0,0,"","","","","","","","","","","","","","","",7.965,"JPYINR"
"5406","OPTCUR","GBPINR","OPTION","27-Mar-2026",111.7500,"CE",0,0,0,,0,"",0,0,0,0,"","","","",0,"","","",0,1,1000,0.0025,"POUND STERLING","","","","",5.9025,7.4425,"","","","","","","","","","",0,"","",0,0,0,"","","","","","","","","","","","","","","",6.29,"GBPINR"
"14916","OPTCUR","JPYINR","OPTION","27-Mar-2026",61.7500,"PE",0,0,0,,0,"",0,0,0,0,"","","","",0,"","","",0,1,1000,0.0025,"JAPANESE YEN","","","","",1.8675,2.5125,"","","","","","","","","","",0,"","",0,0,0,"","","","","","","","","","","","","","","",2.6,"JPYINR"
"14959","OPTCUR","USDINR","OPTION","27-Mar-2026",81.2500,"PE",0,0,0,,0,"",0,0,0,0,"","","","",0,"","","",0,1,1000,0.0025,"US Dollars","","","","",0.0275,0.0525,"","","","","","","","","","",0,"","",0,0,0,"","","","","","","","","","","","","","","",0.0275,"USDINR"
"14989","OPTCUR","USDINR","OPTION","27-Mar-2026",85.0000,"PE",0,0,0,,0,"",0,0,0,0,"","","","",0,"","","",0,1,1000,0.0025,"US Dollars","","","","",0.4125,0.5925,"","","","","","","","","","",0,"","",0,0,0,"","","","","","","","","","","","","","","",0.5025,"USDINR"
